 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
  188     188        1          -1267.          -650.          1069.           245.           -26.          -368.          -996.         -1005.      -3586314.      -3586314.
  189     189        1          -2234.          -833.          1074.           238.           -33.          -360.         -2148.         -2167.      -7731459.      -7731459.
  190     190        1          -2174.           614.          1077.           233.            25.          -357.          -582.          -587.      -2094983.      -2094983.
  191     191        1          -2627.          -749.          1082.           229.           -31.          -348.         -2444.         -2466.      -8799796.      -8799796.
  192     192        1          -1438.            60.          1065.           218.             3.          -372.          -465.          -460.      -1673059.      -1673059.
  193     193        1          -1754.          -594.          1068.           215.           -25.          -367.         -1457.         -1470.      -5246094.      -5246094.
  194     194        1          -2011.          -118.          1071.           213.            -5.          -362.         -1212.         -1223.      -4363774.      -4363774.
  195     195        1          -2199.          -206.          1075.           211.            -9.          -356.         -1485.         -1499.      -5347334.      -5347334.
  196     196        1          -1968.         -1465.          1080.           208.           -66.          -347.         -2557.         -2580.      -9206568.      -9206568.
  197     197        1          -1429.         -1546.          1084.           207.           -70.          -339.         -2093.         -2112.      -7535890.      -7535890.
  198     198        1          -2396.         -2075.          1092.           207.           -96.          -325.         -3593.         -3625.     -12934886.     -12934886.
  199     199        1          -2790.         -3410.          1104.           207.          -159.          -306.         -5353.         -5400.     -19269720.     -19269720.
  200     200        1          -2122.         -3107.          1113.           206.          -147.          -289.         -4347.         -4385.     -15650170.     -15650170.
  201     201        1          -2191.         -3572.          1122.           205.          -172.          -271.         -4878.         -4920.     -17560618.     -17560618.
  202     202        1          -1335.         -3022.          1128.           202.          -147.          -258.         -3431.         -3461.     -12352344.     -12352344.
  203     203        1          -1249.          -167.          1120.           196.            -8.          -267.          -376.          -374.      -1353277.      -1353277.
  204     204        1          -2696.          -353.          1122.           194.           -18.          -260.         -2011.         -2028.      -7237854.      -7237854.
  205     205        1          -2336.           427.          1122.           190.            22.          -257.          -832.          -839.      -2996025.      -2996025.
  206     206        1          -2268.          -380.          1123.           185.           -20.          -251.         -1610.         -1624.      -5796292.      -5796292.
  207     207        1          -2319.          -771.          1124.           182.           -40.          -244.         -2067.         -2085.      -7441516.      -7441516.
  208     208        1          -2447.         -1768.          1127.           179.           -93.          -232.         -3234.         -3261.     -11640825.     -11640825.
  209     209        1          -2353.         -2552.          1132.           176.          -136.          -218.         -3951.         -3984.     -14222568.     -14222568.
  210     210        1          -1035.         -1150.          1130.           171.           -62.          -213.         -1160.         -1169.      -4174660.      -4174660.
  211     211        1          -1720.          -878.          1130.           165.           -48.          -208.         -1558.         -1571.      -5609958.      -5609958.
  212     212        1          -1335.         -1070.          1127.           161.           -59.          -203.         -1379.         -1391.      -4965522.      -4965522.
  213     213        1          -1848.         -1510.          1126.           157.           -85.          -194.         -2354.         -2374.      -8475994.      -8475994.
  214     214        1          -2499.         -2093.          1127.           156.          -119.          -182.         -3610.         -3640.     -12994227.     -12994227.
  215     215        1          -1712.         -2574.          1130.           153.          -148.          -170.         -3321.         -3348.     -11954268.     -11954268.
  216     216        1          -1857.         -1726.          1133.           150.          -100.          -161.         -2561.         -2582.      -9219823.      -9219823.
  217     217        1          -2020.          -885.          1132.           146.           -52.          -154.         -1833.         -1848.      -6597226.      -6597226.
  218     218        1          -1917.          -716.          1129.           142.           -42.          -149.         -1553.         -1565.      -5589774.      -5589774.
  219     219        1          -1549.         -2793.          1132.           138.          -168.          -137.         -3377.         -3404.     -12156349.     -12156349.
  220     220        1          -2370.         -3772.          1140.           134.          -229.          -119.         -5217.         -5260.     -18781256.     -18781256.
  221     221        1          -2396.         -4232.          1148.           132.          -260.           -99.         -5707.         -5754.     -20546928.     -20546928.
  222     222        1          -2379.         -1938.          1151.           130.          -120.           -88.         -3243.         -3270.     -11676202.     -11676202.
  223     223        1          -2542.          -632.          1151.           128.           -40.           -81.         -2015.         -2031.      -7253991.      -7253991.
  224     224        1          -2422.          -156.          1149.           126.           -10.           -76.         -1389.         -1400.      -4999522.      -4999522.
  225     225        1          -2139.         -2336.          1150.           125.          -150.           -64.         -3414.         -3442.     -12291485.     -12291485.
  226     226        1          -2028.         -2000.          1153.           124.          -129.           -54.         -2935.         -2959.     -10566130.     -10566130.
  227     227        1          -1968.         -2840.          1159.           122.          -185.           -42.         -3754.         -3784.     -13514581.     -13514581.
  228     228        1          -2311.         -3617.          1165.           121.          -239.           -25.         -4905.         -4944.     -17659156.     -17659156.
  229     229        1          -2242.         -2758.          1168.           119.          -184.           -12.         -3908.         -3939.     -14070233.     -14070233.
  230     230        1          -2011.         -2520.          1170.           118.          -170.            -0.         -3413.         -3440.     -12286227.     -12286227.
  231     231        1          -1823.         -2949.          1173.           118.          -200.            12.         -3670.         -3699.     -13210983.     -13210983.
  232     232        1          -2174.         -2964.          1176.           116.          -203.            26.         -4023.         -4055.     -14482307.     -14482307.
  233     233        1          -1523.         -2169.          1176.           113.          -150.            34.         -2519.         -2539.      -9068159.      -9068159.
  234     234        1          -1361.         -2352.          1175.           110.          -165.            43.         -2549.         -2569.      -9175767.      -9175767.
  235     235        1          -1181.         -2738.          1174.           107.          -193.            52.         -2779.         -2801.     -10005455.     -10005455.
  236     236        1          -1412.         -1539.          1173.           104.          -110.            58.         -1726.         -1739.      -6213764.      -6213764.
  237     237        1          -1112.          -303.          1168.            99.           -22.            58.          -111.          -112.       -401024.       -401024.
  238     238        1          -1943.          1081.          1164.            96.            78.            43.           519.           523.       1869387.       1869387.
  239     239        1          -1617.          1176.          1159.            91.            86.            41.           935.           942.       3365712.       3365712.
  240     240        1          -1583.          1473.          1153.            86.           108.            38.          1275.          1285.       4591684.       4591684.
  241     241        1          -1138.          1611.          1148.            82.           119.            33.          1855.          1869.       6678261.       6678261.
  242     242        1           -591.          1437.          1141.            77.           107.            28.          2199.          2215.       7916017.       7916017.
  243     243        1          -1001.           759.          1137.            73.            57.            25.          1050.          1057.       3778360.       3778360.
  244     244        1          -1190.          2229.          1129.            68.           168.            19.          2425.          2442.       8728671.       8728671.
  245     245        1          -1840.           889.          1122.            64.            68.            18.           320.           322.       1151619.       1151619.
  246     246        1           -933.          1847.          1112.            58.           141.            13.          2239.          2255.       8058725.       8058725.
  247     247        1           -567.          -418.          1107.            53.           -32.            12.           155.           156.        558898.        558898.
  248     248        1           -794.          -265.          1100.            49.           -21.            12.            82.            83.        296482.        296482.
  249     249        1          -1592.           353.          1095.            47.            28.            12.           -58.           -58.       -208428.       -208428.
  250     250        1          -1515.          1219.          1090.            44.            96.            10.           944.           951.       3398426.       3398426.
  251     251        1          -1780.          1463.          1083.            34.             0.             0.           801.           809.       2883075.       2883075.
  252     252        1          -1035.           477.          1073.            32.             0.             9.           556.           565.       2001961.       2001961.
  253     253        1           -549.          1018.          1061.            28.             0.            -7.          1552.          1576.       5587272.       5587272.
  254     254        1          -1789.          2279.          1049.            24.             0.           -23.          1540.          1564.       5543634.       5543634.
  255     255        1          -1472.          2048.          1036.            20.             0.           -40.          1592.          1617.       5732248.       5732248.
  256     256        1           -337.           842.          1025.            14.             0.           -56.          1488.          1510.       5356786.       5356786.
  257     257        1          -1600.           990.          1018.            10.             0.           -60.           357.           363.       1286607.       1286607.
  258     258        1           -696.            59.          1010.             6.             0.           -63.           316.           321.       1139025.       1139025.
